,btc,eth,avax,luna,xrp,ftm,ada,doge,sol,bnb,trx,dot,etc,xmr,eos
btc,1.0,0.7789485873089393,0.9458507086010403,0.1602795486831277,0.1799100346711151,0.9034444276883051,0.9211866332609137,0.11645282057581706,0.9290340253344372,0.4481911562411701,0.937691411818716,0.9505336858798219,0.3832791661208664,0.6117616109339592,0.7311540609816223
eth,0.7789485873089393,1.0,0.8265888863073804,0.026333926372737734,0.4336226153088312,0.7522669564517124,0.7028882771085946,0.26523621736735464,0.7131607234208118,0.7618849803665343,0.69296219683148,0.7425881584955725,0.7165997740959194,0.849570257600267,0.8651486797764101
avax,0.9458507086010403,0.8265888863073804,1.0,0.08945285960424451,0.18712414017458093,0.9203704005254821,0.923317824041757,0.11667605089511786,0.9562272876566277,0.5179414204638104,0.9047588031052675,0.950293558366613,0.5267334141851698,0.5994396968511504,0.8236960486081429
luna,0.1602795486831277,0.026333926372737734,0.08945285960424451,1.0,0.11692395299569838,-0.01852699698005571,0.20676983132174778,-0.4896188914510296,0.1065796381269125,-0.03180702655839338,0.15031956572886324,0.1324154648124832,0.27618131069036017,-0.07057318549822073,0.18025780324730634
xrp,0.1799100346711151,0.4336226153088312,0.18712414017458093,0.11692395299569838,1.0,0.04670388522365648,0.07874764112990501,0.3489485989346052,0.18310108888988275,0.6097126171358482,0.11829869399340937,0.10435729106475916,0.3122339989568035,0.33589608124572884,0.26849292861171786
ftm,0.9034444276883051,0.7522669564517124,0.9203704005254821,-0.01852699698005571,0.04670388522365648,1.0,0.8723169470099307,0.21368329521208587,0.8887270370611505,0.4736404636693962,0.8605331249512721,0.9017851973495663,0.4057704050757779,0.6565124047303809,0.7266275458943664
ada,0.9211866332609137,0.7028882771085946,0.923317824041757,0.20676983132174778,0.07874764112990501,0.8723169470099307,1.0,-0.006833881549191046,0.9198047193959907,0.3688421505147402,0.8714204683733235,0.9669013679328358,0.43060112216213586,0.509018234767933,0.7459785182073043
doge,0.11645282057581706,0.26523621736735464,0.11667605089511786,-0.4896188914510296,0.3489485989346052,0.21368329521208587,-0.006833881549191046,1.0,0.06983712914217674,0.543132863292679,0.0728699472463805,0.07786109771234012,-0.1393708604419891,0.3581289736604026,-0.03702297140904328
sol,0.9290340253344372,0.7131607234208118,0.9562272876566277,0.1065796381269125,0.18310108888988275,0.8887270370611505,0.9198047193959907,0.06983712914217674,1.0,0.4043522124374362,0.9106415907913653,0.938835246388901,0.40622090425064394,0.49650200352059526,0.711529505510669
bnb,0.4481911562411701,0.7618849803665343,0.5179414204638104,-0.03180702655839338,0.6097126171358482,0.4736404636693962,0.3688421505147402,0.543132863292679,0.4043522124374362,1.0,0.3615853166512408,0.44405343698888783,0.6202293460161497,0.7011077014048063,0.607949828955895
trx,0.937691411818716,0.69296219683148,0.9047588031052675,0.15031956572886324,0.11829869399340937,0.8605331249512721,0.8714204683733235,0.0728699472463805,0.9106415907913653,0.3615853166512408,1.0,0.9017155185174698,0.30474086865146294,0.5530151447036153,0.652249974489922
dot,0.9505336858798219,0.7425881584955725,0.950293558366613,0.1324154648124832,0.10435729106475916,0.9017851973495663,0.9669013679328358,0.07786109771234012,0.938835246388901,0.44405343698888783,0.9017155185174698,1.0,0.41428890639998867,0.5385570829592975,0.7580900476569404
etc,0.3832791661208664,0.7165997740959194,0.5267334141851698,0.27618131069036017,0.3122339989568035,0.4057704050757779,0.43060112216213586,-0.1393708604419891,0.40622090425064394,0.6202293460161497,0.30474086865146294,0.41428890639998867,1.0,0.5620070008892961,0.7882559669875819
xmr,0.6117616109339592,0.849570257600267,0.5994396968511504,-0.07057318549822073,0.33589608124572884,0.6565124047303809,0.509018234767933,0.3581289736604026,0.49650200352059526,0.7011077014048063,0.5530151447036153,0.5385570829592975,0.5620070008892961,1.0,0.6548398273606384
eos,0.7311540609816223,0.8651486797764101,0.8236960486081429,0.18025780324730634,0.26849292861171786,0.7266275458943664,0.7459785182073043,-0.03702297140904328,0.711529505510669,0.607949828955895,0.652249974489922,0.7580900476569404,0.7882559669875819,0.6548398273606384,1.0
